Cliente;Auto;Ubicación;Fecha;Pago;Seguro Empresa
2184;58;273;27/3/2018;Credito;SI
2761;144;9;28/1/2015;Credito;SI
1486;136;7;30/4/2017;Efectivo;SI
2059;94;172;5/9/2018;Credito;NO
3769;121;189;21/4/2016;Credito;NO
3496;23;474;2/10/2018;Efectivo;NO
841;148;234;23/10/2015;Efectivo;NO
2927;51;84;8/9/2016;Efectivo;NO
1367;45;246;15/2/2015;Credito;SI
1925;128;208;16/2/2017;Efectivo;SI
1341;35;338;29/2/2016;Efectivo;NO
2485;8;239;5/12/2016;Efectivo;SI
2468;57;494;22/2/2019;Efectivo;SI
2999;96;303;16/7/2017;Efectivo;NO
853;76;373;21/4/2016;Efectivo;SI
1758;66;136;23/8/2015;Efectivo;NO
3465;84;199;30/7/2019;Efectivo;NO
3346;112;195;9/3/2017;Credito;SI
138;148;22;28/8/2015;Credito;SI
3070;139;555;9/7/2017;Credito;SI
2345;144;376;7/5/2019;Credito;NO
2442;156;256;18/9/2016;Efectivo;NO
1146;58;568;25/8/2015;Efectivo;NO
585;33;573;31/7/2015;Credito;SI
1574;2;462;3/2/2016;Efectivo;NO
971;83;132;2/3/2018;Efectivo;NO
1945;41;549;8/7/2018;Credito;SI
1042;101;366;3/11/2015;Efectivo;SI
188;81;374;8/4/2016;Credito;SI
2074;73;150;16/8/2017;Credito;SI
3698;142;510;19/10/2017;Credito;SI
1763;61;279;6/4/2018;Credito;SI
2832;118;394;6/4/2018;Credito;SI
1739;4;55;7/7/2017;Credito;NO
3495;36;29;6/10/2018;Efectivo;NO
3281;87;248;21/5/2018;Credito;NO
1443;82;518;27/4/2019;Efectivo;SI
1330;141;166;26/5/2015;Efectivo;NO
2704;16;555;16/2/2015;Efectivo;NO
1275;144;315;16/2/2018;Credito;SI
1864;40;172;31/10/2016;Efectivo;NO
1942;29;116;10/9/2019;Efectivo;SI
2861;148;527;13/2/2017;Credito;SI
2500;55;567;18/10/2019;Efectivo;NO
182;42;100;3/3/2019;Efectivo;NO
3316;103;455;17/7/2015;Credito;SI
219;53;500;9/8/2016;Efectivo;NO
772;69;74;17/10/2017;Efectivo;NO
3149;101;95;7/4/2019;Credito;SI
3762;53;335;29/1/2017;Credito;SI
1562;25;77;20/10/2017;Credito;NO
2793;25;193;3/10/2015;Efectivo;SI
561;13;197;26/7/2018;Efectivo;NO
1862;5;564;29/9/2017;Credito;SI
3959;16;506;15/7/2018;Efectivo;SI
1558;44;509;16/12/2016;Credito;SI
3119;113;548;25/3/2016;Efectivo;NO
159;6;98;1/10/2016;Efectivo;NO
2029;125;429;14/3/2015;Credito;SI
2647;105;223;23/8/2017;Efectivo;NO
943;8;363;11/5/2017;Efectivo;NO
3342;69;349;17/2/2018;Efectivo;NO
287;34;111;14/3/2018;Efectivo;SI
11;120;96;21/2/2019;Credito;SI
1684;37;459;26/7/2018;Credito;SI
1049;129;565;27/4/2018;Efectivo;NO
2529;127;62;9/2/2019;Efectivo;SI
3383;62;88;5/12/2018;Efectivo;SI
3934;4;87;31/3/2017;Efectivo;SI
2331;149;9;19/7/2016;Credito;SI
1515;128;145;31/10/2015;Credito;SI
1501;117;422;16/12/2017;Credito;SI
2770;68;555;1/10/2015;Credito;SI
2264;46;57;23/6/2016;Credito;SI
3957;70;301;23/1/2018;Credito;SI
876;59;126;9/1/2015;Efectivo;SI
1845;135;537;29/12/2015;Credito;NO
3596;133;221;19/7/2017;Efectivo;NO
1057;128;105;3/9/2017;Efectivo;NO
3572;109;13;5/2/2016;Credito;SI
1851;150;238;24/5/2017;Efectivo;NO
395;124;247;17/6/2018;Efectivo;SI
1846;138;213;8/2/2018;Efectivo;SI
3410;75;36;16/6/2015;Credito;NO
1966;102;321;19/1/2016;Credito;SI
380;131;267;23/3/2018;Efectivo;SI
3287;59;572;10/7/2019;Efectivo;SI
2178;97;52;20/8/2015;Credito;SI
290;41;593;14/10/2018;Efectivo;SI
1372;58;161;9/8/2016;Credito;SI
2346;157;507;15/6/2017;Efectivo;NO
2395;3;107;6/1/2016;Credito;SI
1547;26;505;1/7/2019;Efectivo;SI
897;113;193;7/2/2016;Efectivo;SI
1289;92;466;27/2/2017;Efectivo;SI
699;6;220;22/11/2018;Credito;SI
427;107;71;2/1/2015;Credito;SI
2;89;534;30/11/2018;Credito;NO
3658;155;182;11/3/2016;Credito;SI
2193;56;565;3/3/2015;Credito;NO
859;40;460;2/11/2016;Efectivo;NO
2841;103;288;12/6/2015;Credito;NO
1820;101;529;4/9/2016;Efectivo;SI
3401;65;348;20/1/2019;Efectivo;SI
3941;64;497;25/10/2015;Credito;SI
2156;98;320;12/5/2017;Credito;NO
1131;133;276;28/3/2018;Efectivo;SI
2576;21;445;31/12/2018;Credito;NO
2229;42;291;26/5/2015;Credito;SI
1692;36;81;2/10/2018;Credito;SI
2954;13;16;16/4/2019;Credito;NO
3661;37;532;1/12/2019;Credito;NO
3419;46;511;22/2/2015;Efectivo;SI
1996;130;105;2/1/2018;Efectivo;NO
851;135;191;10/1/2019;Credito;SI
347;73;282;3/5/2017;Efectivo;SI
917;106;588;18/8/2015;Efectivo;SI
694;6;157;29/4/2018;Credito;SI
654;59;426;4/11/2016;Credito;NO
2700;26;537;16/7/2018;Credito;NO
3143;47;462;7/10/2017;Efectivo;SI
788;15;23;5/3/2019;Credito;NO
218;112;372;5/8/2015;Credito;SI
2615;98;6;4/9/2018;Credito;NO
2438;41;264;18/10/2019;Credito;NO
118;43;384;31/5/2019;Credito;SI
2205;64;390;7/6/2015;Efectivo;SI
585;148;279;16/3/2016;Efectivo;NO
1773;150;56;18/10/2019;Credito;SI
3097;60;368;7/6/2015;Credito;NO
5;1;10;7/8/2018;Credito;NO
2043;24;38;10/6/2016;Efectivo;NO
3285;89;431;26/11/2018;Efectivo;SI
850;154;296;21/1/2017;Efectivo;SI
2007;60;519;17/7/2015;Efectivo;SI
191;17;504;20/4/2019;Credito;SI
2859;76;50;19/7/2019;Credito;NO
3762;154;181;19/1/2017;Credito;SI
2871;56;254;1/7/2015;Efectivo;NO
3923;120;350;20/3/2018;Efectivo;NO
1613;13;330;27/11/2016;Efectivo;SI
1967;105;294;26/9/2018;Credito;SI
3334;95;86;25/7/2017;Efectivo;NO
3281;104;342;23/12/2017;Efectivo;NO
767;110;527;16/6/2017;Credito;SI
3052;4;81;20/4/2016;Efectivo;NO
847;22;179;17/11/2019;Credito;SI
1278;8;308;7/9/2019;Credito;SI
