idOrden;idProducto;cantidadDevuelta;fechaDevolucion;motivoDevolucion;resolucion
100;2757;3;24/9/16;Producto danado o defectuoso;Credito de la tienda
100;8813;7;28/9/16;Producto o tamano incorrecto;Intercambio por nuevos productos
100;10659;1;4/10/16;Producto danado o defectuoso;Intercambio por variante
116;8421;3;8/12/19;Producto danado o defectuoso;Intercambio por nuevos productos
119;9756;6;8/10/13;Producto o tamano incorrecto;Intercambio por variante
120;4530;2;11/11/16;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
125;2694;1;16/10/12;Producto danado o defectuoso;Reembolso
125;13955;8;25/9/12;Cambio de idea o insatisfaccion personal;Intercambio por variante
136;10760;1;5/6/14;Cambio de idea o insatisfaccion personal;Credito de la tienda
150;11840;1;6/8/12;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
154;1018;1;12/6/15;Producto o tamano incorrecto;Intercambio por nuevos productos
157;11083;3;3/6/12;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
159;964;2;2/6/15;Producto o tamano incorrecto;Credito de la tienda
164;6370;6;30/3/09;Producto danado o defectuoso;Intercambio por variante
173;7230;2;26/6/16;Producto o tamano incorrecto;Credito de la tienda
184;6059;3;29/11/08;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
190;11005;1;21/1/09;Producto o tamano incorrecto;Reembolso
199;6043;2;6/5/21;Producto danado o defectuoso;Intercambio por nuevos productos
223;6;5;3/1/14;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
224;13183;8;2/9/17;Cambio de idea o insatisfaccion personal;Credito de la tienda
226;5955;1;13/9/13;Producto o tamano incorrecto;Intercambio por nuevos productos
226;2295;2;28/8/13;Producto o tamano incorrecto;Reembolso
228;729;3;5/4/12;Cambio de idea o insatisfaccion personal;Reembolso
232;1166;3;12/2/15;Producto o tamano incorrecto;Intercambio por nuevos productos
245;7928;3;6/2/14;Cambio de idea o insatisfaccion personal;Credito de la tienda
264;7381;7;11/11/11;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
265;4801;4;30/12/13;Producto danado o defectuoso;Reembolso
270;3532;2;23/1/16;Producto o tamano incorrecto;Credito de la tienda
271;5904;4;17/11/17;Producto danado o defectuoso;Intercambio por variante
275;1954;1;25/5/15;Producto o tamano incorrecto;Credito de la tienda
280;4965;1;31/7/15;Cambio de idea o insatisfaccion personal;Credito de la tienda
282;14566;5;5/6/12;Producto o tamano incorrecto;Reembolso
291;14658;2;3/5/14;Producto o tamano incorrecto;Reembolso
317;7001;3;16/5/11;Producto danado o defectuoso;Credito de la tienda
323;3070;5;14/6/13;Producto danado o defectuoso;Intercambio por nuevos productos
333;3465;3;13/6/18;Cambio de idea o insatisfaccion personal;Intercambio por variante
338;9302;3;19/12/10;Cambio de idea o insatisfaccion personal;Intercambio por variante
340;709;4;24/9/19;Cambio de idea o insatisfaccion personal;Reembolso
345;1808;2;11/1/16;Producto danado o defectuoso;Intercambio por nuevos productos
347;12679;4;7/8/15;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
353;3289;8;29/11/16;Producto danado o defectuoso;Intercambio por variante
359;11386;10;15/11/16;Cambio de idea o insatisfaccion personal;Reembolso
372;13147;1;16/5/15;Producto o tamano incorrecto;Credito de la tienda
374;5833;6;7/12/07;Producto o tamano incorrecto;Intercambio por nuevos productos
374;2295;4;3/12/07;Producto danado o defectuoso;Credito de la tienda
379;8764;1;22/8/21;Producto danado o defectuoso;Reembolso
380;11407;4;10/9/11;Producto danado o defectuoso;Reembolso
382;3445;3;23/7/09;Producto danado o defectuoso;Intercambio por nuevos productos
384;294;2;9/6/15;Cambio de idea o insatisfaccion personal;Intercambio por variante
385;3773;1;7/2/17;Producto o tamano incorrecto;Intercambio por variante
388;8832;7;4/6/08;Cambio de idea o insatisfaccion personal;Intercambio por nuevos productos
398;9191;6;20/10/22;Producto o tamano incorrecto;Intercambio por nuevos productos
409;8714;1;9/8/16;Cambio de idea o insatisfaccion personal;Intercambio por variante
410;4753;4;12/2/14;Producto danado o defectuoso;Intercambio por nuevos productos
419;2069;11;18/4/13;Cambio de idea o insatisfaccion personal;Reembolso
421;11002;2;29/6/07;Producto o tamano incorrecto;Intercambio por nuevos productos
425;12444;7;11/7/12;Producto o tamano incorrecto;Intercambio por variante
